id,text,json
60,"Forever Amber
Mix together 1 lb chopped orange slice candy, 2 cans Angel Flake coconut, 2 cups chopped pecans, 2 cans condensed milk, 1 teaspoon vanilla, and 1 teaspoon orange flavoring. Spread in buttered pan and bake at 275°F for 30 minutes. While hot, sift powdered sugar over top and drop by teaspoons onto waxed paper to dry.","{""title"": ""Forever Amber"", ""ingredients"": [""1 lb. orange sliced candy, chopped"", ""2 cans Angel Flake coconut"", ""2 c. chopped pecans"", ""2 cans condensed milk"", ""1 tsp. vanilla"", ""1 tsp. orange flavoring""], ""directions"": [""Mix together."", ""Spread in a buttered pan."", ""Bake for 30 minutes at 275°."", ""While still hot, sift 1 box of powdered sugar into it. Drop by teaspoons on waxed paper."", ""Let dry."", ""If it seems set on bottom, turn over and let it continue to dry.""]}"
61,"Gooey Coffee Cake
Mix 1 yellow cake mix with 2 eggs and 1 stick melted oleo. Spread into greased 9 x 13-inch pan and sprinkle with 1 cup chopped nuts. Mix 2 eggs with 8 oz cream cheese and 1 lb powdered sugar and spread on top. Bake 15 minutes at 325°F, then 20 minutes at 350°F.","{""title"": ""Gooey Coffee Cake"", ""ingredients"": [""1 yellow cake mix"", ""2 eggs"", ""1 stick oleo, melted"", ""1 c. chopped nuts"", ""2 eggs"", ""8 oz. softened cream cheese"", ""1 lb. powdered sugar""], ""directions"": [""Mix together cake mix, 2 eggs and melted oleo."", ""Put in greased 9 x 13-inch pan."", ""Put chopped nuts on top of mixture."", ""Mix together 2 eggs, cream cheese and powdered sugar."", ""Add on top of first mixture."", ""Bake 15 minutes at 325°, then bake 20 minutes at 350°.""]}"
62,"Phylis’ Pineapple-Banana Salad
Drain 1 large can chunk pineapple and reserve juice. Cut 4 to 5 bananas into chunks similar in size to pineapple. Combine gently and chill.","{""title"": ""Phylis' Pineapple-Banana Salad"", ""ingredients"": [""1 large can chunk pineapple"", ""4 to 5 bananas""], ""directions"": [""Drain pineapple and reserve juice."", ""Cut bananas in chunks like pineapple.""]}"
63,"Chicken Casserole
Mix together 1 can cream of mushroom soup, 1 can cream of chicken soup, 1 can cream of celery soup, 1 cut-up chicken, 1/2 cup melted butter, and 1 1/2 cups uncooked rice. Cover and bake at 350°F for 2 1/2 hours, uncovering for the last 45 minutes.","{""title"": ""Chicken Casserole"", ""ingredients"": [""1 can cream of mushroom soup"", ""1 can cream of chicken soup"", ""1 can cream of celery soup"", ""1 cut up chicken"", ""1/2 c. melted butter or margarine"", ""1 1/2 c. uncooked rice""], ""directions"": [""Mix all ingredients together in baking dish."", ""Cover and bake at 350° for 2 1/2 hours."", ""Bake the last 45 minutes, uncovered, to brown top of chicken.""]}"
64,"Pineapple Nut Pie
Cream 1 package cream cheese until smooth, beat in 1 can sweetened condensed milk, then add 1/2 cup crushed pineapple, 1/3 cup chopped nuts, and 1/3 cup lemon juice. Pour into graham cracker crust and chill.","{""title"": ""Pineapple Nut Pie"", ""ingredients"": [""1 (8 oz.) pkg. cream cheese"", ""1 can sweetened condensed milk"", ""1/2 c. crushed pineapple"", ""1/3 c. chopped nuts"", ""1/3 c. lemon juice""], ""directions"": [""Cream the cream cheese; add the milk and beat smooth."", ""Add lemon juice, pineapple and nuts."", ""Beat well."", ""Pour into graham cracker crust and chill."", ""Slice in small servings (very rich) and top with dollop of Cool Whip.""]}"
65,"Annie’s Diabetic Candy
Mix together 1 package sugar-free vanilla pudding mix, 8 oz light cream cheese, 2 tablespoons butter, and 2 tablespoons peanut butter. Form into small balls, roll in chopped peanuts, and refrigerate.","{""title"": ""Annie'S Diabetic Candy"", ""ingredients"": [""1 (8 oz.) Jell-O sugar-free vanilla or French vanilla pudding (put in dry)"", ""1 (8 oz.) Philadelphia light cream cheese"", ""2 Tbsp. butter"", ""2 Tbsp. peanut butter or more if you would like""], ""directions"": [""Mix all ingredients, form in small balls and roll in chopped peanuts."", ""Keep refrigerated.""]}"
66,"Frozen Peach Mousse
Puree 4 peeled chopped peaches. Blend in 1 to 1 1/4 cups sugar, 1 1/4 cups sour cream, 1/4 cup lemon juice, and 3/4 to 1 teaspoon vanilla. Pour into container and freeze.","{""title"": ""Frozen Peach Mousse"", ""ingredients"": [""4 medium peaches, peeled and chopped"", ""1 to 1 1/4 c. sugar"", ""1 1/4 c. sour cream (use light)"", ""1/4 c. lemon juice"", ""3/4 to 1 tsp. vanilla""], ""directions"": [""Puree peaches in a blender."", ""Add remaining ingredients."", ""Blend and pour in container and freeze.""]}"
67,"Strawberry Pie
Mix together 16 oz Cool Whip, 2 packages frozen strawberries, 1 3/4 cups sugar, and 12 oz cream cheese. Spoon into deep pie crusts and chill before serving.","{""title"": ""Strawberry Pie"", ""ingredients"": [""16 oz. Cool Whip"", ""2 pkg. frozen strawberries *"", ""2 (9-inch) deep pan pie crusts"", ""1 3/4 c. sugar"", ""12 oz. cream cheese""], ""directions"": [""*Can also use blueberries or cherries.""]}"
68,"Blueberry Surprise
Mix 1 stick melted margarine with 1 1/2 cups graham cracker crumbs and 1/4 cup sugar. Press two-thirds of mixture into bottom of baking dish.","{""title"": ""Blueberry Surprise"", ""ingredients"": [""1 stick margarine"", ""1 1/2 c. graham cracker crumbs"", ""1/4 c. granulated sugar""], ""directions"": [""Mix ingredients and press 2/3 mixture in bottom of square baking dish."", ""(A bowl that has the same diameter top and bottom may be used, 1 1/2 to 2-quart size.)""]}"
69,"Moist Devil’s Food Cake
Sift together 2 cups flour, 1 1/2 teaspoons baking soda, and 1/4 teaspoon salt. Cream 1/2 cup shortening with 1 1/2 cups sugar. Add 2 egg yolks, then stir in cocoa mixture made with cocoa, water, and vanilla. Alternate flour mixture with 1 cup milk, fold in beaten egg whites, and bake at 375°F for 30 minutes.","{""title"": ""Moist Devil'S Food Cake"", ""ingredients"": [""2 c. sifted flour"", ""1 1/2 tsp. baking soda"", ""1/4 tsp. salt"", ""1/2 c. shortening"", ""1 1/2 c. sugar"", ""2 eggs, separated"", ""1/2 c. cocoa"", ""water"", ""1 tsp. vanilla"", ""1 c. milk""], ""directions"": [""Sift together the flour, soda and salt; set aside."", ""Combine shortening and sugar in a bowl."", ""Beat until creamy."", ""Add egg yolks; beat well."", ""Combine cocoa, water and vanilla to make 1 cup; mix well."", ""Add to batter."", ""Add flour mixture alternately with milk."", ""Beat well after each addition; set aside."", ""Beat egg whites until stiff peaks form when beater is lifted."", ""Fold into batter. Bake in two 9-inch greased cake pans at 375° for 30 minutes.""]}"
70,"Dot’s Civil War Cake
Cook together 3 chopped apples, 2 cups raisins, 1 cup brown sugar, 1 cup granulated sugar, 2 tablespoons shortening, and 2 cups water. Boil 5 minutes and cool. Stir in 3 cups flour, 2 teaspoons soda, spices, and nuts. Bake at 350°F for 1 hour.","{""title"": ""Dot'S Civil War Cake"", ""ingredients"": [""3 medium apples, chopped"", ""2 c. raisins"", ""1 c. brown sugar"", ""1 c. granulated sugar"", ""2 Tbsp. shortening"", ""2 c. cold water"", ""3 c. flour"", ""2 tsp. soda"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""1 tsp. cloves"", ""1 tsp. salt"", ""1 c. nuts""], ""directions"": [""Combine and cook first 6 ingredients."", ""Bring to boil and boil 5 minutes; cool."", ""Add sifted, dry ingredients to apple mixture. Stir and blend only."", ""Add nuts."", ""Pour into greased and floured tube pan."", ""Bake 1 hour at 350°."", ""Serves 16.""]}"
71,"Potato Casserole
Mix 6 cups diced potatoes with 1/2 cup chopped onion, 1 can cream of chicken soup, 1 cup sour cream, and 1 cup Cheddar cheese. Transfer to casserole dish, top with crushed cornflakes mixed with melted butter, and bake at 350°F for 50 minutes.","{""title"": ""Potato Casserole"", ""ingredients"": [""6 c. diced potatoes"", ""1/2 c. chopped onion"", ""3/4 c. melted butter"", ""1 can cream of chicken soup"", ""1 (8 oz.) sour cream"", ""1 c. grated Cheddar cheese"", ""2 c. crushed cornflakes""], ""directions"": [""Peel and dice potatoes; place in bowl of cold, salted water. Drain potatoes and dry on paper towels."", ""Mix 1/2 cup butter, onions, soup, sour cream and cheese; stir well."", ""Add potatoes to mixture and pour into a 2 1/2-quart casserole dish."", ""Crush cornflakes, mix with remaining butter."", ""Sprinkle cornflakes and butter on top of potato mixture."", ""Bake at 350° for 50 minutes.""]}"
72,"Dream Pie
Mix vanilla wafer crumbs with butter until combined. Press into pie dish and chill.","{""title"": ""Dream Pie"", ""ingredients"": [""vanilla wafers"", ""butter""], ""directions"": [""Mix vanilla wafer crumbs with butter.""]}"
73,"Divinity Fudge
Boil together 2 2/3 cups sugar, 2/3 cup white corn syrup, and 2/3 cup water until it forms a hard ball in cold water. Pour slowly over stiffly beaten 2 egg whites, beating constantly. Add 1 teaspoon vanilla and 1 cup chopped nuts, then drop onto wax paper.","{""title"": ""Divinity Fudge"", ""ingredients"": [""2 2/3 c. sugar"", ""2/3 c. white corn syrup (Karo)"", ""2/3 c. cold water"", ""2 egg whites"", ""1 tsp. vanilla"", ""1 c. chopped nuts""], ""directions"": [""Stir well together the sugar, syrup and water."", ""Allow to boil without stirring until it forms a hard ball in cold water."", ""Pour this over stiffly beaten egg whites, beating constantly."", ""Cool; add vanilla and nuts."", ""Beat until cool and thick enough to set. Pour into a buttered platter or drop by teaspoons on waxed paper.""]}"
74,"Apple Crisp
Spread apples in baking dish. Mix 1/2 cup sugar with cinnamon and sprinkle over apples. Combine remaining sugar, flour, salt, cornflake crumbs, and oleo, then spread on top.","{""title"": ""Apple Crisp"", ""ingredients"": [""apples"", ""1/2 c. sugar"", ""1 tsp. cinnamon"", ""1/4 c. sugar"", ""1 c. flour"", ""dash of salt"", ""1/2 c. corn flake crumbs"", ""1 stick oleo""], ""directions"": [""Mix 1/2 cup of sugar and cinnamon."", ""Spread on apples."", ""Mix 1/4 cup sugar, flour, salt, cornflake crumbs and oleo."", ""Spread mixture on apples.""]}"
75,"Sausage Balls
Mix 2 cups Bisquick with 1 lb sausage and 8 oz grated Cheddar cheese. Roll into balls and bake at 350°F for 15 minutes.","{""title"": ""Sausage Balls"", ""ingredients"": [""2 c. Bisquick"", ""1 lb. sausage"", ""8 oz. pkg. Cheddar cheese, grated""], ""directions"": [""Mix sausage and cheese together."", ""Add Bisquick and mix thoroughly."", ""Roll into medium size balls."", ""Bake at 350° for 15 minutes or until golden brown.""]}"
76,"Consomme Chicken
Mix cream of chicken soup and consomme with water to make 4 cups liquid. Add chicken parts, season with salt and pepper, and bake at 350°F for 1 hour.","{""title"": ""Consomme Chicken"", ""ingredients"": [""chicken parts"", ""1 can cream of chicken soup"", ""1 can consomme"", ""2 c. rice"", ""salt to taste"", ""pepper to taste""], ""directions"": [""Add enough liquid to chicken soup and consomme to make 4 cups of water."", ""Season with salt and pepper."", ""Cook at 350° for 1 hour.""]}"
77,"Spanish Hamburgers
Brown celery, onions, and 1 lb ground beef in butter. Add vinegar, lemon juice, brown sugar, mustard, salt, pepper, catsup, and water. Simmer 30 minutes.","{""title"": ""Spanish Hamburgers"", ""ingredients"": [""1/2 c. celery"", ""2 chopped onions"", ""2 Tbsp. butter"", ""1 lb. ground beef"", ""2 Tbsp. vinegar"", ""2 Tbsp. lemon juice"", ""2 Tbsp. brown sugar"", ""1 1/2 Tbsp. mustard"", ""1 tsp. salt"", ""1 1/2 tsp. pepper"", ""1 c. catsup"", ""1 c. water""], ""directions"": [""Brown celery, onions and ground beef in butter."", ""Add vinegar, lemon juice, brown sugar, mustard, salt, pepper catsup and water. Simmer for 30 minutes.""]}"
78,"Egg Drop Soup
Stir chicken broth into cornstarch in saucepan and cook until slightly thickened. Slowly pour in beaten egg, stirring gently once. Remove from heat and garnish with sliced green onion.","{""title"": ""Egg Drop Soup"", ""ingredients"": [""2 (13 3/4 oz.) cans chicken broth"", ""1 Tbsp. cornstarch"", ""1 well beaten egg"", ""2 Tbsp. sliced (1/4-inch) green onion""], ""directions"": [""In saucepan slowly stir the chicken broth into cornstarch. Cook, stirring constantly, until slightly thickened."", ""Slowly pour in the well beaten egg; stir once gently."", ""Remove from heat. Garnish with sliced green onion."", ""Makes 4 servings.""]}"
79,"Mulled Cider
Simmer 1/2 gallon apple juice with allspice, whole cloves, cinnamon stick, and 1 cup brown sugar. Strain into mugs and finish with a dash of nutmeg.","{""title"": ""Mulled Cider"", ""ingredients"": [""1/2 gal. apple juice"", ""1 tsp. allspice"", ""1 tsp. whole cloves"", ""1 cinnamon stick"", ""1 c. brown sugar""], ""directions"": [""Simmer all of the ingredients."", ""Strain into warmed mugs and top"", ""with"", ""a"", ""dash of nutmeg."", ""This recipe can be doubled many times, according to the number of guests present.""]}"
80,"Sesame Ginger Chicken
Mix together 1 tablespoon toasted sesame seeds, 2 teaspoons grated ginger, 2 tablespoons honey, and 2 tablespoons reduced-sodium soy sauce. Flatten 4 skinned chicken breast halves to 1/4-inch thickness. Grill the chicken, basting frequently with the sauce, cooking about 4 minutes per side. Garnish with thin green onion strips before serving.","{""title"": ""Sesame Ginger Chicken"", ""ingredients"": [""1 Tbsp. sesame seed, toasted"", ""2 tsp. grated ginger"", ""2 Tbsp. honey"", ""2 Tbsp. reduced-sodium soy sauce"", ""4 (4 oz.) skinned chicken breast halves"", ""vegetable cooking spray"", ""thin green onion strips""], ""directions"": [""Combine first 4 ingredients in a small bowl, stir well and set aside."", ""Place chicken between 2 sheets of waxed paper or heavy duty plastic wrap, and flatten to 1/4-inch thickness, using meat mallet or rolling pin."", ""Coat grill rack with cooking spray; place on grill over coals."", ""Place chicken on rack and cook 4 minutes on each side, basting frequently with soy sauce mixture."", ""Transfer chicken to a serving platter and garnish with green onion, if desired."", ""Yields 4 servings, about 200 calories.""]}"
81,"Egg Casserole
Sauté 1 chopped Vidalia onion, 16 oz sliced mushrooms, chopped green peppers, and 1 clove garlic in olive oil. In a separate pan combine buttered bread pieces, 6 eggs, and milk to desired consistency. Layer vegetables and egg mixture in a baking dish, refrigerate overnight, add cheese if desired, and bake at 350°F for 1 hour.","{""title"": ""Egg Casserole"", ""ingredients"": [""1 Vidalia onion, chopped"", ""1 (16 oz.) pkg. fresh mushrooms"", ""2 green peppers"", ""1 clove garlic"", ""olive oil"", ""6 pieces bread (buttered with either butter or margarine)"", ""6 eggs"", ""milk (as much as you would like; to fluff eggs)""], ""directions"": [""Saute together first 5\tingredients."", ""In a separate 9 x 12-inch pan, mix bread, eggs"", ""and"", ""milk."", ""Put"", ""pieces of bread into"", ""pan; add your"", ""vegetables,"", ""then"", ""your"", ""eggs."", ""Place\tin refrigerator overnight (at least 8 hours).\tAdd Cheddar cheese before cooking."", ""Bake at 350° for 1 hour.""]}"
82,"Cranberry-Apple-Orange Salad
Grind 2 cups raw cranberries, 1 peeled apple, and 1 peeled orange in a food processor. Mix with 1 cup sugar and set aside. Prepare orange gelatin using slightly less water. Chill until thickened, then fold in fruit mixture and optional nuts. Chill until set.","{""title"": ""Cranberry-Apple-Orange Salad"", ""ingredients"": [""1 (12 oz.) bag raw cranberries (2 c.)"", ""1 c. sugar"", ""1 medium apple, peeled, cored and cut into wedges"", ""1 orange, peeled, seeded and broken in wedges"", ""1 (3 oz.) pkg. orange gelatin"", ""1/2 c. nuts (optional)""], ""directions"": [""In food processor or blender, grind cranberries, apple and orange."", ""Mix with sugar and set aside."", ""Prepare gelatin according to package directions, using 1/4 cup less of cold water."", ""Chill until it begins to thicken."", ""Add cranberry mixture and nuts."", ""Mix well."", ""Pour into a mold, if desired, or leave in a bowl and stir before serving."", ""Chill until set."", ""Can even be made a day ahead. Keeps well in refrigerator for a few days.""]}"
83,"Brown Rice
Place 1 cup raw rice, 1 can beef consommé, 1 can French onion soup, 1 can mushrooms, and 1/2 stick margarine in a covered baking dish. Bake at 350°F for 1 hour.","{""title"": ""Brown Rice"", ""ingredients"": [""1 c. raw rice"", ""1 can beef consomme"", ""1 can French onion soup"", ""1 (4 oz.) can mushrooms"", ""1/2 stick margarine, cut up""], ""directions"": [""Put in a covered 1 1/2-quart dish."", ""Bake 1 hour at 350°.""]}"
84,"Cranberry Salad
Blend softened cream cheese with margarine and sugar. Stir in whole berry cranberry sauce, drained crushed pineapple, and chopped walnuts. Whip cream and fold into mixture. Freeze in mold for several hours before serving.","{""title"": ""Cranberry Salad"", ""ingredients"": [""2 (3 oz.) pkg. softened cream cheese"", ""2 Tbsp. margarine"", ""2 Tbsp. sugar"", ""1 (16 oz.) can whole berry cranberry sauce"", ""3/4 c. crushed pineapple, drained"", ""1/2 c. chopped walnuts"", ""1 c. whipping cream""], ""directions"": [""Mix cream cheese, margarine and sugar."", ""Add fruit and walnuts. Whip cream and fold into fruit and cream cheese mixture."", ""Pour into round mold."", ""Freeze 6 hours."", ""Remove from mold shortly before serving."", ""Makes 12 servings.""]}"
85,"Cheese Dip
Dice Italian tomatoes and green chili peppers. Combine with Velveeta cheese, minced onion, garlic, and salt in a double boiler. Heat for 30 minutes until smooth and serve hot with corn chips.","{""title"": ""Cheese Dip"", ""ingredients"": [""2 lb. Velveeta cheese"", ""1 (15 oz.) can Italian tomatoes"", ""2 small cans green chili peppers"", ""1/2 medium onion, minced"", ""3 cloves garlic"", ""1/2 tsp. salt""], ""directions"": [""Dice tomatoes and peppers."", ""Combine all ingredients in top of double boiler for 30 minutes."", ""Serve hot over corn chips.""]}"
86,"Funnel Cake
Sift together flour, salt, soda, sugar, and baking powder. Mix egg and milk and combine with dry ingredients to form smooth batter. Pour batter through funnel into hot oil and fry until golden. Drain and dust with powdered sugar.","{""title"": ""Funnel Cake"", ""ingredients"": [""1 1/3 c. flour"", ""1 1/4 tsp. salt"", ""1/2 tsp. soda"", ""2 Tbsp. sugar"", ""3/4 Tbsp. baking powder"", ""1 egg, beaten"", ""2/3 c. milk (more if batter is too thick)"", ""oil (for frying)"", ""powdered sugar""], ""directions"": [""Sift first 5 ingredients together in a bowl."", ""Mix egg and milk together; add to dry ingredients."", ""Beat until smooth."", ""Hold finger over bottom of a funnel; pour in some batter."", ""Remove finger to let batter drop."", ""Drop batter in a spiral motion into pan filled with 1 inch of hot oil (375°)."", ""Fry until golden brown, turning once."", ""Remove from pan; drain on a paper towel."", ""Sprinkle with powdered sugar and serve hot.""]}"
87,"Fast Real Good Fudge
Mix confectioners sugar, cocoa, and chopped nuts in a bowl. Melt margarine and Velveeta together, add vanilla, then pour over sugar mixture. Stir quickly, spread in buttered pan, cool, and cut into squares.","{""title"": ""Fast Real Good Fudge"", ""ingredients"": [""4 lb. confectioners sugar"", ""1 c. cocoa"", ""1 c. chopped nuts"", ""1 lb. margarine (not whipped)"", ""1 lb. Velveeta"", ""1 Tbsp. vanilla""], ""directions"": [""In large bowl, put confectioners sugar, cocoa and chopped nuts."", ""In saucepan, put margarine and Velveeta."", ""Melt and add vanilla."", ""Pour hot mixture over sugar mixture."", ""Mix quickly and pour into buttered cookie sheet."", ""Cool and cut into squares.""]}"
88,"Squash Casserole
Cook squash, onions, and carrots until tender, then mash. Melt butter and stir in stuffing mix. Combine squash with sour cream and soup. Layer squash and stuffing in baking dish and bake at 350°F for 35 minutes.","{""title"": ""Squash Casserole"", ""ingredients"": [""3 lb. squash"", ""3 onions"", ""1 pt. sour cream"", ""3 carrots, grated"", ""2 cans chicken or mushroom soup"", ""1 pkg. Pepperidge Farm stuffing mix"", ""1 stick butter"", ""salt and pepper to taste""], ""directions"": [""Cook squash, onions and carrots until tender."", ""Mash."", ""Melt butter in pan; stir in stuffing until all is coated."", ""Drain all water from squash."", ""Stir in sour cream and soup."", ""Place in a greased baking dish a layer of squash and a layer of stuffing. Bake at 350° for 35 minutes.""]}"
89,"Cheese Ball
Blend cream cheese with shredded Cheddar. Add chopped pimento, green pepper, onion, lemon juice, Worcestershire sauce, Tabasco, and salt. Mix well, shape into ball, and coat with chopped nuts.","{""title"": ""Cheese Ball"", ""ingredients"": [""2 pkg. cream cheese"", ""2 c. shredded Cheddar cheese (8 oz.)"", ""1 Tbsp. chopped pimento"", ""1 Tbsp. chopped green pepper"", ""1 Tbsp. chopped onion"", ""1 tsp. lemon juice"", ""2 tsp. Worcestershire sauce"", ""dash of Tabasco sauce"", ""dash of salt""], ""directions"": [""Combine softened cream and Cheddar cheeses."", ""Add chopped up items."", ""Mix and add liquids last."", ""Mix well."", ""Roll into ball and cover with chopped nuts.""]}"
